Att,date,Value
DesRoll,0.0000000000,0.93
DesRoll,0.0016684500,-1.78
DesRoll,0.0033362500,-0.91
DesRoll,0.0050041333,0.75
DesRoll,0.0066729167,0.26
DesRoll,0.0083363833,0.72
DesRoll,0.0100046333,1.11
DesRoll,0.0116723500,1.78
DesRoll,0.0133376833,2.06
DesRoll,0.0150058833,2.10
DesRoll,0.0166740833,2.10
DesRoll,0.0183489000,0.32
DesRoll,0.0200038667,-1.01
DesRoll,0.0216713500,1.25
DesRoll,0.0233377833,2.36
DesRoll,0.0249978333,1.89
DesRoll,0.0266684667,1.05
DesRoll,0.0283609000,0.80
DesRoll,0.0300072333,0.78
DesRoll,0.0316765333,1.27
DesRoll,0.0333365667,1.75
DesRoll,0.0350060833,1.85
DesRoll,0.0366728333,1.85
DesRoll,0.0383553167,0.41
DesRoll,0.0400053500,1.53
DesRoll,0.0416736167,1.60
DesRoll,0.0433384000,1.76
DesRoll,0.0450042333,2.17
DesRoll,0.0466703833,2.44
DesRoll,0.0483438833,2.03
DesRoll,0.0500092000,1.83
DesRoll,0.0516768667,0.87
DesRoll,0.0533356167,-2.81
DesRoll,0.0550083667,-0.38
DesRoll,0.0566730833,0.05
DesRoll,0.0583445333,1.71
DesRoll,0.0600022167,2.27
DesRoll,0.0616700333,1.68
DesRoll,0.0633366333,1.28
DesRoll,0.0650110500,1.48
DesRoll,0.0666716167,1.30
DesRoll,0.0683377833,1.21
DesRoll,0.0700084333,1.45
DesRoll,0.0716749333,1.58
DesRoll,0.0733387167,1.61
DesRoll,0.0750039167,1.48
DesRoll,0.0766696667,0.07
DesRoll,0.0783423833,0.58
DesRoll,0.0800067667,1.67
DesRoll,0.0816697167,2.06
DesRoll,0.0833418000,1.98
DesRoll,0.0850034167,2.27
DesRoll,0.0866692667,2.32
DesRoll,0.0883378500,2.32
DesRoll,0.0900037167,2.22
DesRoll,0.0916704167,1.88
DesRoll,0.0933366167,1.29
DesRoll,0.0949999167,0.09
DesRoll,0.0966698500,1.53
DesRoll,0.0983439667,2.43
DesRoll,0.1000042000,2.21
DesRoll,0.1016638167,1.95
DesRoll,0.1033355833,-2.47
DesRoll,0.1050032000,0.07
DesRoll,0.1066782333,1.73
DesRoll,0.1083401000,-2.30
DesRoll,0.1100114333,-3.25
DesRoll,0.1116691833,-1.41
DesRoll,0.1133333667,1.01
DesRoll,0.1149980333,1.48
DesRoll,0.1166787500,1.60
DesRoll,0.1183412667,1.75
DesRoll,0.1200085667,2.36
DesRoll,0.1216707833,2.38
DesRoll,0.1233398667,2.23
DesRoll,0.1249978667,2.45
DesRoll,0.1266746000,-0.30
DesRoll,0.1283362500,-3.37
DesRoll,0.1300103333,-2.44
DesRoll,0.1316719833,1.14
DesRoll,0.1333470333,0.45
DesRoll,0.1350030000,-3.44
DesRoll,0.1366761333,-1.07
DesRoll,0.1383457333,1.63
DesRoll,0.1400089333,2.05
DesRoll,0.1416636833,1.62
DesRoll,0.1433410000,0.00
DesRoll,0.1449976667,0.00
DesRoll,0.1466716500,0.00
DesRoll,0.1483368333,0.00
DesRoll,0.1500029000,0.00
DesRoll,0.1516773500,0.00
DesRoll,0.1533381333,0.00
DesRoll,0.1550073667,0.00
DesRoll,0.1566697333,0.00
DesRoll,0.1583421500,0.00
DesRoll,0.1600039833,0.00
DesRoll,0.1616667000,0.00
DesRoll,0.1633331833,0.00
DesRoll,0.1650048833,0.00
DesRoll,0.1666718667,0.00
DesRoll,0.1683349000,0.00
DesRoll,0.1700047667,0.00
DesRoll,0.1716708667,0.00
DesRoll,0.1733365833,0.00
DesRoll,0.1749973667,0.00
DesRoll,0.1766710833,0.00
DesRoll,0.1783411333,0.00
DesRoll,0.1800071167,0.00
DesRoll,0.1816652167,0.00
DesRoll,0.1833309667,0.00
DesRoll,0.1850081667,0.00
DesRoll,0.1866646000,0.00
DesRoll,0.1883420333,0.00
DesRoll,0.1900018500,0.00
DesRoll,0.1916753667,0.00
DesRoll,0.1933326667,0.00
DesRoll,0.1950059500,0.00
DesRoll,0.1966763500,0.00
DesRoll,0.1983494167,0.00
DesRoll,0.2000052667,0.00
DesRoll,0.2016719667,0.00
DesRoll,0.2033399167,0.00
DesRoll,0.2050345667,0.00
DesRoll,0.2066691500,0.00
DesRoll,0.2083412833,0.00
DesRoll,0.2100064000,0.00
DesRoll,0.2116754333,0.00
DesRoll,0.2133419500,0.00
DesRoll,0.2150069167,0.00
DesRoll,0.2166692000,0.00
DesRoll,0.2183503667,0.00
DesRoll,0.2199988833,0.00
DesRoll,0.2216648167,0.00
DesRoll,0.2233337500,0.00
DesRoll,0.2250060500,0.00
DesRoll,0.2266709333,0.00
DesRoll,0.2283428167,0.00
DesRoll,0.2300027167,0.00
DesRoll,0.2316733167,0.00
