Expt,date,Speed
1,2018710693,0.93
1,2018810800,-1.78
1,2018910868,-0.91
1,2019010941,0.75
1,2019111068,0.26
1,2019210876,0.72
1,2019310971,1.11
1,2019411034,1.78
1,2019510954,2.06
1,2019611046,2.1
1,2019711138,2.1
1,2019811627,0.32
1,2019910925,-1.01
1,2020010974,1.25
1,2020110960,2.36
1,2020210563,1.89
1,2020310801,1.05
1,2020412347,0.8
1,2020511127,0.78
1,2020611285,1.27
1,2020710887,1.75
1,2020811058,1.85
1,2020911063,1.85
1,2021012012,0.41
1,2021111014,1.53
1,2021211110,1.6
1,2021310997,1.76
1,2021410947,2.17
1,2021510916,2.44
1,2021611326,2.03
1,2021711245,1.83
1,2021811305,0.87
1,2021910830,-2.81
1,2022011195,-0.38
1,2022111078,0.05
1,2022211365,1.71
1,2022310826,2.27
1,2022410895,1.68
1,2022510891,1.28
1,2022611356,1.48
1,2022710990,1.3
1,2022810960,1.21
1,2022911199,1.45
1,2023011189,1.58
1,2023111016,1.61
1,2023210928,1.48
1,2023310873,0.07
1,2023411236,0.58
1,2023511099,1.67
1,2023610876,2.06
1,2023711201,1.98
1,2023810898,2.27
1,2023910849,2.32
1,2024010964,2.32
1,2024110916,2.22
1,2024210918,1.88
1,2024310890,1.29
1,2024410688,0.09
1,2024510884,1.53
1,2024611331,2.43
1,2024710945,2.21
1,2024810522,1.95
1,2024910828,-2.47
1,2025010885,0.07
1,2025111387,1.73
1,2025211099,-2.3
1,2025311379,-3.25
1,2025410844,-1.41
1,2025510695,1.01
1,2025610575,1.48
1,2025711418,1.6
1,2025811169,1.75
1,2025911207,2.36
1,2026010940,2.38
1,2026111085,2.23
1,2026210565,2.45
1,2026311169,-0.3
1,2026410868,-3.37
1,2026511313,-2.44
1,2026611012,1.14
1,2026711515,0.45
1,2026810873,-3.44
1,2026911261,-1.07
1,2027011437,1.63
1,2027111229,2.05
1,2027210514,1.62
1,2027311153,0
1,2027410553,0
1,2027510992,0
1,2027610903,0
1,2027710867,0
1,2027811334,0
1,2027910981,0
1,2028011135,0
1,2028110877,0
1,2028211222,0
1,2028310932,0
1,2028410695,0
1,2028510684,0
2,2018710693,5.38
2,2018810800,5.38
2,2018910868,5.38
2,2019010941,5.38
2,2019111068,5.39
2,2019210876,5.39
2,2019310971,5.38
2,2019411034,5.39
2,2019510954,5.38
2,2019611046,5.38
2,2019711138,5.37
2,2019811627,5.37
2,2019910925,5.37
2,2020010974,5.38
2,2020110960,5.37
2,2020210563,5.37
2,2020310801,5.37
2,2020412347,5.38
2,2020511127,5.38
2,2020611285,5.39
2,2020710887,5.38
2,2020811058,5.38
2,2020911063,5.37
2,2021012012,5.37
2,2021111014,5.36
2,2021211110,5.36
2,2021310997,5.36
2,2021410947,5.36
2,2021510916,5.36
2,2021611326,5.35
2,2021711245,5.35
2,2021811305,5.35
2,2021910830,5.35
2,2022011195,5.35
2,2022111078,5.35
2,2022211365,5.35
2,2022310826,5.34
2,2022410895,5.34
2,2022510891,5.34
2,2022611356,5.34
2,2022710990,5.34
2,2022810960,5.34
2,2022911199,5.34
2,2023011189,5.34
2,2023111016,5.34
2,2023210928,5.34
2,2023310873,5.34
2,2023411236,5.34
2,2023511099,5.34
2,2023610876,5.35
2,2023711201,5.34
2,2023810898,5.33
2,2023910849,5.33
2,2024010964,5.33
2,2024110916,5.33
2,2024210918,5.32
2,2024310890,5.33
2,2024410688,5.33
2,2024510884,5.33
2,2024611331,5.33
2,2024710945,5.32
2,2024810522,5.32
2,2024910828,5.32
2,2025010885,5.32
2,2025111387,5.32
2,2025211099,5.31
2,2025311379,5.31
2,2025410844,5.31
2,2025510695,5.32
2,2025610575,5.3
2,2025711418,5.3
2,2025811169,5.3
2,2025911207,5.29
2,2026010940,5.29
2,2026111085,25.29
2,2026210565,5.29
2,2026311169,5.29
2,2026410868,5.29
2,2026511313,5.3
2,2026611012,5.3
2,2026711515,5.3
2,2026810873,5.3
2,2026911261,5.3
2,2027011437,5.31
2,2027111229,5.31
2,2027210514,5.31
2,2027311153,5.31
2,2027410553,5.31
2,2027510992,5.31
2,2027610903,5.31
2,2027710867,5.32
2,2027811334,5.33
2,2027910981,5.33
2,2028011135,5.33
2,2028110877,5.33
2,2028211222,5.33
2,2028310932,5.34
2,2028410695,5.34
2,2028510684,5.34
